eis_poll_nei17,county,district,emission_quant_fy22,emission_quant_fy23,emission_quant_diff_fy23_fy22,emission_quant_perdiff_fy23_fy22
NOX,Hamilton,Waco,0.2679606084359152,0.28943714223303585,0.021476533797120667,8.014810058269047
NOX,Bosque,Waco,0.46601736881530936,0.503266568906193,0.03724920009088367,7.993092657807389
NOX,Crane,Odessa,0.38219583140867774,0.4114357397920131,0.029239908383335345,7.650504265199438
NOX,Bexar,San Antonio,21.171788467047154,22.733627483109366,1.561839016062212,7.376981961127835
NOX,Kleberg,Corpus Christi,0.5395244527618345,0.578429372745902,0.03890491998406753,7.21096509804377
NOX,Hidalgo,Pharr,6.449810534190107,6.913402831277251,0.46359229708714444,7.187688609295824
NOX,Aransas,Corpus Christi,0.334863751093132,0.3584303148321351,0.02356656373900312,7.037657453836743
NOX,Franklin,Paris,0.81486062193132,0.8647618532207383,0.04990123128941826,6.123897749672354
NOX,Cameron,Pharr,3.4546442429656525,3.665522930887374,0.21087868792172149,6.104208511516424
NOX,Hopkins,Paris,2.1129183911515965,2.239321815012817,0.1264034238612206,5.982409182984459
NOX,Medina,San Antonio,1.046366060525285,1.108550123284435,0.062184062759150116,5.942859301832971
NOX,Falls,Waco,0.6307613447144953,0.6664401292854998,0.035678784571004485,5.656463394590858
NOX,Comal,San Antonio,3.060405368305043,3.230842204951368,0.1704368366463247,5.569093506744122
NOX,Gregg,Tyler,2.0469150665427684,2.1590226691353096,0.11210760259254116,5.476905438088863
NOX,Smith,Tyler,4.3346975812438835,4.57204423708077,0.23734665583688663,5.475506685031017
NOX,Mason,Austin,0.11736553518289337,0.12373282775236583,0.006367292569472452,5.425180875757227
NOX,Blanco,Austin,0.4089583492962389,0.43085657606253647,0.021898226766297546,5.354634965634369
NOX,Coryell,Waco,0.8285288907970638,0.8713199669789579,0.04279107618189404,5.164705378074148
NOX,Llano,Austin,0.36274028776512135,0.3807591534993197,0.018018865734198364,4.967428858044517
NOX,Cochran,Lubbock,0.1099726253521561,0.115391971268581,0.0054193459164249,4.9279044662896645
NOX,Yoakum,Lubbock,0.28634750327432207,0.30027343773366366,0.013925934459341593,4.863298719249
NOX,Castro,Lubbock,0.27162428743632755,0.28471629781194796,0.013092010375620411,4.819896813788921
NOX,Floyd,Lubbock,0.14511343822249653,0.15210614431455613,0.006992706092059597,4.818786032302512
NOX,Martin,Odessa,1.4571755801311936,1.5269114229711969,0.06973584284000323,4.785685664161673
NOX,Crosby,Lubbock,0.15701965573553484,0.16446297585909436,0.007443320123559527,4.740374756709547
NOX,Parmer,Lubbock,0.3895558674237414,0.4080221939317621,0.018466326508020714,4.740353836830771
NOX,Caldwell,Austin,0.9054959195314877,0.947974346544291,0.042478427012803355,4.691178181651233
NOX,Gillespie,Austin,0.5505457444475147,0.5761259504248601,0.02558020597734545,4.646336155593351
NOX,Lee,Austin,0.3530919312769834,0.3692716572571189,0.016179725980135506,4.5822984177577535
NOX,Reeves,Odessa,2.5877263672213933,2.704828049430233,0.11710168220883954,4.52527298450721
NOX,Burnet,Austin,1.04632049618011,1.0922258199204715,0.04590532374036149,4.3873099980313786
NOX,Reagan,San Angelo,0.298257321050008,0.3111794295917075,0.012922108541699506,4.332536916850028
NOX,Edwards,San Angelo,0.1269506644862265,0.13242522688844335,0.005474562402216859,4.312354271143513
NOX,Real,San Angelo,0.12825250492897416,0.13371951440519894,0.005467009476224777,4.262692162817708
NOX,Glasscock,San Angelo,0.3423523907133596,0.3569176437869145,0.014565253073554885,4.254462205800658
NOX,Irion,San Angelo,0.23593209021403883,0.24595100690169608,0.010018916687657253,4.246525633104017
NOX,Lynn,Lubbock,0.36677998654085564,0.3822085537550227,0.015428567214167077,4.206491024680947
NOX,Menard,San Angelo,0.17944624990805386,0.18696752455129,0.007521274643236153,4.19138023062057
NOX,Runnels,San Angelo,0.48583052169193164,0.5061238808057118,0.020293359113780163,4.177044917455457
NOX,Coke,San Angelo,0.20055153744631712,0.20888168070916582,0.0083301432628487,4.153617254157665
NOX,Concho,San Angelo,0.329478646237428,0.3431268081616784,0.01364816192425039,4.1423509778583005
